text_id,text_content,domain,template_id,label,predicted,prob_ai
TXT_0217,Just came across an article on economic inequality trends and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.40967490733398315
TXT_0224,Just came across an article on urban housing shortages and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.36024317319119803
TXT_0318,"A growing body of research underscores the salience of data privacy legislation as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.26144458396073716
TXT_0320,"A growing body of research underscores the salience of election integrity concerns as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.30973812404055406
TXT_0346,"A growing body of research underscores the salience of urban housing shortages as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.2802866063771625
TXT_0375,"A growing body of research underscores the salience of gig economy labor rights as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.24832400587292575
TXT_0432,"A growing body of research underscores the salience of economic inequality trends as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.2960449946781033
TXT_0491,"A growing body of research underscores the salience of autonomous vehicle safety as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.2870549360141648
TXT_0499,"A growing body of research underscores the salience of education reform debates as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.27462973937437035
TXT_0516,"A growing body of research underscores the salience of digital divide in rural areas as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.270773372201568
TXT_0560,"A growing body of research underscores the salience of space exploration milestones as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.3139596662007232
TXT_0607,Just came across an article on water scarcity and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.21998230908631164
TXT_0615,"A growing body of research underscores the salience of mental health awareness campaigns as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.3068048398312908
TXT_0626,"A growing body of research underscores the salience of climate change adaptation strategies as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.31973523882303306
TXT_0651,"A growing body of research underscores the salience of space exploration milestones as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.3139596662007232
TXT_0653,Just came across an article on mental health awareness campaigns and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.47704896621001314
TXT_0682,Just came across an article on election integrity concerns and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.44324118747772645
TXT_0686,"A growing body of research underscores the salience of economic inequality trends as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.2960449946781033
TXT_0696,"A growing body of research underscores the salience of artificial intelligence regulation as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.35675603648977255
TXT_0717,"A growing body of research underscores the salience of supply chain disruptions as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.27118207133302774
TXT_0750,Just came across an article on economic inequality trends and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.40967490733398315
TXT_0761,"A growing body of research underscores the salience of cybersecurity threats to infrastructure as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.38715332903117244
TXT_0838,Just came across an article on remote work productivity and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.35726721723854266
TXT_0921,"A growing body of research underscores the salience of antibiotic resistance as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.2916142546171918
TXT_0932,"A growing body of research underscores the salience of autonomous vehicle safety as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.2870549360141648
TXT_0940,Just came across an article on social media misinformation and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.45559036817629434
TXT_0951,Just came across an article on water scarcity and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.21998230908631164
TXT_1030,"A growing body of research underscores the salience of economic inequality trends as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.2960449946781033
TXT_1041,Just came across an article on space exploration milestones and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.4592398727050468
TXT_1054,"A growing body of research underscores the salience of aging population challenges as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.2526510604078666
TXT_1115,Just came across an article on aging population challenges and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.37125592718360645
TXT_1163,Just came across an article on renewable energy adoption and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.37864606966521913
TXT_1209,Just came across an article on nuclear energy policy and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.2670308659952426
TXT_1235,Just came across an article on student debt crisis and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.24323933113484777
TXT_1254,"A growing body of research underscores the salience of artificial intelligence regulation as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.35675603648977255
TXT_1302,Just came across an article on student debt crisis and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.24323933113484777
TXT_1324,"A growing body of research underscores the salience of renewable energy adoption as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.2826219534808967
TXT_1325,Just came across an article on biodiversity loss and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.2893215926002596
TXT_1328,"A growing body of research underscores the salience of cybersecurity threats to infrastructure as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.38715332903117244
TXT_1330,Just came across an article on gig economy labor rights and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.30715748174316154
TXT_1336,Just came across an article on economic inequality trends and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.40967490733398315
TXT_1351,"A growing body of research underscores the salience of renewable energy adoption as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.2826219534808967
TXT_1372,"A growing body of research underscores the salience of renewable energy adoption as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.2826219534808967
TXT_1385,"A growing body of research underscores the salience of digital divide in rural areas as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.270773372201568
TXT_1503,"A growing body of research underscores the salience of election integrity concerns as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.30973812404055406
TXT_1557,"A growing body of research underscores the salience of social media misinformation as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.3211331957297196
TXT_1597,"A growing body of research underscores the salience of space exploration milestones as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.3139596662007232
TXT_1603,"A growing body of research underscores the salience of gene editing ethics as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.22381277250284554
TXT_1633,Just came across an article on remote work productivity and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.35726721723854266
TXT_1669,"A growing body of research underscores the salience of education reform debates as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.27462973937437035
TXT_1675,"A growing body of research underscores the salience of genomic research breakthroughs as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.32533312529575714
TXT_1700,Just came across an article on student debt crisis and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.24323933113484777
TXT_1726,"A growing body of research underscores the salience of genomic research breakthroughs as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.32533312529575714
TXT_1796,Just came across an article on algorithmic bias in hiring and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.32362757416042454
TXT_1901,"A growing body of research underscores the salience of supply chain disruptions as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.27118207133302774
TXT_1915,"A growing body of research underscores the salience of cybersecurity threats to infrastructure as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.38715332903117244
TXT_1943,Just came across an article on food security in developing nations and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.45416365636740186
TXT_1969,Just came across an article on social media misinformation and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.45559036817629434
TXT_1972,Just came across an article on biodiversity loss and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.2893215926002596
TXT_1992,"A growing body of research underscores the salience of public transit investment as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.28630507102043296
